family,workload_id,model,k_frac_deleted,mask_seed,retained_recall,coord_success,f1
a,c1-a-000,llama3.1:8b,0.0,0,1.0,1.0,0.8548710902763392
a,c1-a-000,llama3.1:8b,0.0,1,1.0,1.0,0.8565088140742206
a,c1-a-000,llama3.1:8b,0.0,2,1.0,1.0,0.8565088140742206
a,c1-a-000,llama3.1:8b,0.15,0,0.8421052631578947,1.0,0.8215275172413601
a,c1-a-000,llama3.1:8b,0.15,1,0.8421052631578947,0.0,0.10622710622710624
a,c1-a-000,llama3.1:8b,0.15,2,0.8421052631578947,0.0,0.0
a,c1-a-000,llama3.1:8b,0.3,0,0.7105263157894737,1.0,0.7613674882302528
a,c1-a-000,llama3.1:8b,0.3,1,0.7105263157894737,0.0,0.6861808220329355
a,c1-a-000,llama3.1:8b,0.3,2,0.7105263157894737,0.0,0.6640786567059751
a,c1-a-000,llama3.1:8b,0.45,0,0.5526315789473685,0.0,0.26248618170545535
a,c1-a-000,llama3.1:8b,0.45,1,0.5526315789473685,0.0,0.6809041333750492
a,c1-a-000,llama3.1:8b,0.45,2,0.5526315789473685,0.0,0.6324816462560732
a,c1-a-000,llama3.1:8b,0.6,0,0.39473684210526316,0.0,0.354340986821144
a,c1-a-000,llama3.1:8b,0.6,1,0.39473684210526316,0.0,0.4269306802836273
a,c1-a-000,llama3.1:8b,0.6,2,0.39473684210526316,0.0,0.5657668262818903
a,c1-a-000,llama3.1:8b,0.75,0,0.2631578947368421,0.0,0.4127600165946299
a,c1-a-000,llama3.1:8b,0.75,1,0.2631578947368421,0.0,0.10622710622710624
a,c1-a-000,llama3.1:8b,0.75,2,0.2631578947368421,0.0,0.0927960927960928
a,c1-a-000,llama3.1:8b,0.9,0,0.10526315789473684,0.0,0.1369312565435839
a,c1-a-000,llama3.1:8b,0.9,1,0.10526315789473684,0.0,0.09340659340659341
a,c1-a-000,llama3.1:8b,0.9,2,0.10526315789473684,0.0,0.0
a,c1-a-000,llama3.1:8b,1.0,0,0.0,0.0,0.07642515018413576
a,c1-a-000,llama3.1:8b,1.0,1,0.0,0.0,0.44798952513801404
