compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,storage_bounded,8.0,P3,c1-a-015,0.6,0.625,0.00016325400000000002,3675.254511374912,1.0
lingua2,storage_bounded,8.0,P1,c1-a-016,0.03333333333333333,0.625,0.00015635400000000001,213.19143311545167,19.8125
lingua2,storage_bounded,8.0,P2,c1-a-016,0.03333333333333333,0.625,0.00015552600000000001,214.3264363086129,1.0
lingua2,storage_bounded,8.0,P3,c1-a-016,1.0,0.625,0.00017360400000000003,5760.235939264071,1.0
lingua2,storage_bounded,8.0,P1,c1-a-017,0.03478260869565218,0.625,0.00015387000000000002,226.05191847437564,15.578947368421053
lingua2,storage_bounded,8.0,P2,c1-a-017,0.01739130434782609,0.625,0.00015262800000000003,113.94570031597142,1.0
lingua2,storage_bounded,8.0,P3,c1-a-017,0.41739130434782606,0.625,0.00015856200000000003,2632.3539331480806,1.0
lingua2,storage_bounded,8.0,P1,c1-a-018,0.03478260869565218,0.625,0.00015525,224.04256808793676,16.105263157894736
lingua2,storage_bounded,8.0,P2,c1-a-018,0.01739130434782609,0.625,0.00015428400000000003,112.7226695433492,1.0
lingua2,storage_bounded,8.0,P3,c1-a-018,0.8,0.625,0.00016767000000000003,4771.276912983837,1.0
lingua2,storage_bounded,8.0,P1,c1-a-019,0.0,0.625,0.00015483600000000002,0.0,19.125
lingua2,storage_bounded,8.0,P2,c1-a-019,0.0,0.625,0.00015400800000000002,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-019,0.8,0.625,0.00016767000000000003,4771.276912983837,1.0
lingua2,storage_bounded,8.0,P1,c1-a-020,0.050724637681159424,0.625,0.00015594000000000003,325.2830427161691,16.36842105263158
lingua2,storage_bounded,8.0,P2,c1-a-020,0.016666666666666666,0.625,0.00015483600000000002,107.64077260240941,1.0
lingua2,storage_bounded,8.0,P3,c1-a-020,0.6,0.625,0.00016504800000000002,3635.3060927730107,1.0
lingua2,storage_bounded,8.0,P1,c1-a-021,0.037391304347826095,0.625,0.00015428400000000003,242.35373951820077,18.875
lingua2,storage_bounded,8.0,P2,c1-a-021,0.02,0.625,0.000153456,130.33051819414035,1.0
lingua2,storage_bounded,8.0,P3,c1-a-021,0.6,0.625,0.000163668,3665.957914803138,1.0
lingua2,storage_bounded,8.0,P1,c1-a-022,0.09739130434782609,0.625,0.000153456,634.6529581627703,15.421052631578947
lingua2,storage_bounded,8.0,P2,c1-a-022,0.0773913043478261,0.625,0.00015249000000000003,507.5172427557616,1.0
lingua2,storage_bounded,8.0,P3,c1-a-022,0.6373913043478261,0.625,0.00016173600000000002,3940.936491243916,1.0
lingua2,storage_bounded,8.0,P1,c1-a-023,0.06884057971014493,0.625,0.000155388,443.0237837551479,15.3
lingua2,storage_bounded,8.0,P2,c1-a-023,0.034057971014492754,0.625,0.00015400800000000002,221.144167929541,1.0
lingua2,storage_bounded,8.0,P3,c1-a-023,0.6173913043478261,0.625,0.00016435800000000003,3756.381218728787,1.0
